dataset,stock,seq,pred,seed,step_size,top_k,MSE,MAE,CRPS,variance,learning rate,epochs,batch_size,reference
only,AAPL,10,10,2024,1,3,0.22527328268067087,0.44231704058421356,0.44824243846692535,0.014077253643848769,0.0003,100,8,True
only,AAPL,10,10,2024,1,5,0.21042688978747737,0.420606246034415,0.4367408752441406,0.009516967023647595,0.0003,100,8,True
only,AAPL,10,10,2024,1,10,0.046861638643449395,0.18902225341637485,0.1846671229914615,0.004830357814233615,0.0003,100,8,True
only,AAPL,10,10,2024,1,1,0.19506281740486123,0.4171651664882649,0.4193154385215358,0.015823954659252112,0.0003,100,8,True
only,AAPL,20,20,2024,1,5,0.2737449688897372,0.47936154480880694,0.5026764116789165,0.008834582470511264,0.0003,100,8,True
only,AAPL,20,20,2024,1,10,0.2167199044452656,0.4250747036441589,0.4082115323919999,0.02095586137082373,0.0003,100,8,True
only,AAPL,20,20,2024,1,1,0.2651430574490257,0.4843965319405615,0.49803292123894943,0.012663842425585497,0.0003,100,8,True
only,AAPL,20,20,2024,1,3,0.35878738498969065,0.5605406139452549,0.5943046369050679,0.006433414103007246,0.0003,100,8,True
only,AAPL,40,40,2024,1,5,0.29180019946401337,0.5083205066795732,0.5441932678222656,0.002610186153530676,0.0003,100,8,True
only,AAPL,40,40,2024,1,3,0.5494457420298088,0.7072315145894437,0.7487063658864874,0.007491169854948752,0.0003,100,8,True
only,AAPL,40,40,2024,1,10,0.23809805546317211,0.4547136038840814,0.4866054434525339,0.0023968890035232174,0.0003,100,8,True
only,AAPL,40,40,2024,1,1,0.29147728470256895,0.5016429811815754,0.5185016330919767,0.007340790505791986,0.0003,100,8,True
only,AAPL,60,60,2024,1,1,0.45421890985398067,0.6437208423589954,0.6678105404502467,0.004295890971040174,0.0003,100,8,True
only,AAPL,60,60,2024,1,5,0.5881877059641952,0.740997837807988,0.7882704985769171,0.0012365327282608553,0.0003,100,8,True
only,AAPL,60,60,2024,1,10,0.20623729796636672,0.42004179788832496,0.4280324233205695,0.0039837041953662495,0.0003,100,8,True
only,AAPL,60,60,2024,1,3,0.33115549173441017,0.5450675365393993,0.5675027746903268,0.003181326630953196,0.0003,100,8,True
