dataset,stock,seq,pred,seed,step_size,top_k,MSE,MAE,CRPS,variance,learning rate,epochs,batch_size,reference
All_stocks,AAPL,20,20,2024,1,1,45807.57144581545,171.07491643684617,93.25470934416118,,0.0003,100,8,True
only,AAPL,20,20,2024,1,1,44906.38720493562,169.20571849642906,92.23578844572368,,0.0003,100,8,True
Industry,AAPL,20,20,2026,1,1,45024.809120171674,169.4175729907122,92.35127981085526,,0.0003,100,8,True
All_stocks,AAPL,20,20,2024,2,1,45006.09129560086,169.9909403395755,92.663818359375,,0.0003,100,8,True
only,AAPL,20,20,2024,2,1,45821.32926502146,170.61305193594086,93.00294896175987,,0.0003,100,8,True
Industry,AAPL,20,20,2026,2,1,44955.208878755366,168.23317252883584,91.70563707853618,,0.0003,100,8,True
All_stocks,AAPL,20,20,2024,5,1,45863.75477467811,171.01270704801502,93.22079307154605,,0.0003,100,8,True
Industry,AAPL,20,20,2026,5,1,45914.41290236051,171.90674849743496,93.70815558182566,,0.0003,100,8,True
only,AAPL,20,20,2024,5,1,46517.69125536481,172.10133575308475,93.81422183388158,,0.0003,100,8,True
All_stocks,AAPL,20,20,2024,10,1,45377.119957081544,170.18896190987124,92.77177348889802,,0.0003,100,8,True
Industry,AAPL,20,20,2026,10,1,46158.63492489271,170.75399494744167,93.07976973684211,,0.0003,100,8,True
only,AAPL,20,20,2024,10,1,45106.64146995708,170.92171646576583,93.17121967516448,,0.0003,100,8,True
Industry,AAPL,20,20,2025,1,1,1.0835707693652534,0.8928070047894261,0.4509588542737459,0.035076659866668636,0.0003,100,8,True
Industry,AAPL,20,20,2024,1,1,0.8307402630220667,0.7746265925051317,0.3885871485659951,0.0529375727852015,0.0003,100,8,True
Industry,AAPL,20,20,2026,1,1,1.5100812289847836,1.0535760769004985,0.5400488000167044,0.03439849755794705,0.0003,100,8,True
All_stocks,AAPL,20,20,2024,1,1,0.5946699938037365,0.6590124891551268,0.3254121228268272,0.029353723364838203,0.0003,100,8,True
All_stocks,AAPL,20,20,2026,1,1,1.034165418557343,0.8495904609369106,0.4215802142494603,0.04401486316463978,0.0003,100,8,True
All_stocks,AAPL,20,20,2025,1,1,0.8865144949102607,0.7957274127927461,0.3970970354582134,0.03607912270807913,0.0003,100,8,True
Industry,AAPL,20,20,2025,2,1,0.6588912659960243,0.6817236824608668,0.33990069439536647,0.023833679647660564,0.0003,100,8,True
Industry,AAPL,20,20,2026,2,1,1.2628315975737674,0.9492711973804261,0.48377554040206106,0.032457419334563066,0.0003,100,8,True
Industry,AAPL,20,20,2024,2,1,0.6034946594627119,0.666214595843794,0.32910891583091334,0.028532349858672833,0.0003,100,8,True
All_stocks,AAPL,20,20,2024,2,1,0.831564011747745,0.771141569808829,0.3839326155813117,0.036076826138557797,0.0003,100,8,True
All_stocks,AAPL,20,20,2026,2,1,0.9582197561540318,0.8137400721275755,0.4001539882860686,0.04404620464267649,0.0003,100,8,True
All_stocks,AAPL,20,20,2025,2,1,1.1299628167193334,0.9112929876270213,0.4500394620393452,0.05006678184982021,0.0003,100,8,True
Industry,AAPL,20,20,2025,5,1,0.7142047996173089,0.7310907662682268,0.37044234024850947,0.02353217452124976,0.0003,100,8,True
All_stocks,AAPL,20,20,2024,5,1,0.7331824737557014,0.7269472017820301,0.3590257795233476,0.04729489112360795,0.0003,100,8,True
Industry,AAPL,20,20,2026,5,1,0.7982934066666042,0.7542709391516166,0.37623101786563273,0.03758034532162253,0.0003,100,8,True
Industry,AAPL,20,20,2024,5,1,0.549705894054773,0.6275471945177332,0.30874985142758016,0.02538667259809797,0.0003,100,8,True
All_stocks,AAPL,20,20,2026,5,1,1.1264303787583445,0.9412569000997257,0.4715536017166941,0.04550014232872893,0.0003,100,8,True
All_stocks,AAPL,20,20,2025,5,1,0.42888761871362446,0.5451563601841742,0.2696618029945775,0.02889458269776193,0.0003,100,8,True
Industry,AAPL,20,20,2025,10,1,0.9480911794650196,0.850056019975392,0.42499973899439764,0.05363385861523673,0.0003,100,8,True
All_stocks,AAPL,20,20,2024,10,1,0.6315649551895043,0.6755683317716541,0.3299213208650288,0.03565947670537515,0.0003,100,8,True
All_stocks,AAPL,20,20,2025,10,1,0.7513607524751083,0.7527752358514352,0.37399078670300934,0.037391681323235636,0.0003,100,8,True
All_stocks,AAPL,20,20,2026,10,1,1.8222440093372,1.2094679419063192,0.6125427547254061,0.04451026425341168,0.0003,100,8,True
Industry,AAPL,20,20,2026,10,1,0.8746228193008848,0.789062941637162,0.39516162872314453,0.028287207300059274,0.0003,100,8,True
Industry,AAPL,20,20,2024,10,1,0.9422531244836652,0.8358294372394873,0.42350236993086965,0.02735894110069766,0.0003,100,8,True
Industry,AAPL,20,20,2025,1,3,0.6373352152595193,0.6928192564346248,0.3442756251284951,0.03087021879883795,0.0003,100,8,True
All_stocks,AAPL,20,20,2024,1,3,0.7948651699037511,0.7556829000235628,0.3787791101556075,0.03501015391216769,0.0003,100,8,True
Industry,AAPL,20,20,2026,1,3,0.5655541533052666,0.6269730260955417,0.31315964146664266,0.019513772319314816,0.0003,100,8,True
All_stocks,AAPL,20,20,2026,1,3,1.0193001453968589,0.8656867240119901,0.43536909003006785,0.036487840915442535,0.0003,100,8,True
All_stocks,AAPL,20,20,2025,1,3,1.4713483653866681,1.0816475221527493,0.5391559098896227,0.043527631237783145,0.0003,100,8,True
Industry,AAPL,20,20,2024,1,3,0.9670443454525501,0.8305230721895275,0.42098697863127055,0.03433681672734764,0.0003,100,8,True
Industry,AAPL,20,20,2025,2,3,0.5449744031153012,0.6230368041173583,0.31460142135620117,0.015845005815377053,0.0003,100,8,True
All_stocks,AAPL,20,20,2024,2,3,0.5943394689600867,0.6538304932639323,0.3226855428595292,0.023640127780611423,0.0003,100,8,True
All_stocks,AAPL,20,20,2026,2,3,0.9929223991770602,0.8372901447852794,0.42838593533164576,0.019176507443829156,0.0003,100,8,True
Industry,AAPL,20,20,2026,2,3,0.9926028230415394,0.8558211320459587,0.431174027292352,0.0335218860995616,0.0003,100,8,True
All_stocks,AAPL,20,20,2025,2,3,0.8244735451726954,0.7597420266769475,0.3815665746990003,0.029009793641229555,0.0003,100,8,True
Industry,AAPL,20,20,2024,2,3,0.688229724931103,0.7045949096843408,0.3542774852953459,0.030748114488667173,0.0003,100,8,True
Industry,AAPL,20,20,2025,5,3,0.6188813808649907,0.6692046112257012,0.3356694422270122,0.02143241026370822,0.0003,100,8,True
All_stocks,AAPL,20,20,2024,5,3,0.8593518383513192,0.7930846103782817,0.3999293979845549,0.024851982973420058,0.0003,100,8,True
Industry,AAPL,20,20,2026,5,3,0.8112193803418859,0.7490080123295599,0.37329972417731033,0.03204787832728783,0.0003,100,8,True
All_stocks,AAPL,20,20,2025,5,3,0.6118805403361505,0.668367101399172,0.3394216738249126,0.01343878885898979,0.0003,100,8,True
Industry,AAPL,20,20,2024,5,3,1.0422759608649388,0.9084869106440073,0.4563898287321392,0.03255655835882277,0.0003,100,8,True
All_stocks,AAPL,20,20,2026,5,3,0.6397582530975342,0.6710543906739853,0.3326010955007453,0.032226479258148456,0.0003,100,8,True
Industry,AAPL,20,20,2025,10,3,0.8430457773382571,0.7922743752278996,0.4026680494609632,0.02401551666945347,0.0003,100,8,True
Industry,AAPL,20,20,2026,10,3,0.836177703597515,0.7738298152137724,0.3911644283093904,0.054595885416213026,0.0003,100,8,True
All_stocks,AAPL,20,20,2024,10,3,0.9674840893356585,0.8252367117885868,0.41646683843512283,0.04196269545432324,0.0003,100,8,True
Industry,AAPL,20,20,2024,10,3,0.6899970411231078,0.7158643407371422,0.3637469944201018,0.018217703687274916,0.0003,100,8,True
All_stocks,AAPL,20,20,2025,10,3,0.5824834429654953,0.6524163686154738,0.32508039474487305,0.0213993185451614,0.0003,100,8,True
All_stocks,AAPL,20,20,2026,10,3,0.7513861841654061,0.7462788999336472,0.3743163409985994,0.02736387749086634,0.0003,100,8,True
Industry,AAPL,20,20,2025,1,5,0.9488015764261009,0.831115687865556,0.42778798153525904,0.021323470598638313,0.0003,100,8,True
All_stocks,AAPL,20,20,2024,1,5,0.6139141794949642,0.6592517292039077,0.33549090435630397,0.01838136889648028,0.0003,100,8,True
Industry,AAPL,20,20,2026,1,5,0.5070618119362598,0.6193769880630428,0.3103548853020919,0.018543680760481837,0.0003,100,8,True
All_stocks,AAPL,20,20,2025,1,5,0.731029531295719,0.739826607601837,0.3813698919195878,0.015263116254187449,0.0003,100,8,True
All_stocks,AAPL,20,20,2026,1,5,0.5223831940106568,0.6193422567179274,0.3126374294883327,0.015130213600115714,0.0003,100,8,True
Industry,AAPL,20,20,2024,1,5,0.6828795552765351,0.6951277229407314,0.35273265838623047,0.0199795237810315,0.0003,100,8,True
Industry,AAPL,20,20,2025,2,5,0.9768147074613448,0.8517833803856322,0.4381224481683028,0.01728801713225156,0.0003,100,8,True
All_stocks,AAPL,20,20,2024,2,5,0.7957592068311994,0.7548253219015096,0.3855623446012798,0.02817304104950295,0.0003,100,8,True
All_stocks,AAPL,20,20,2025,2,5,0.7899287739536793,0.7570503357653966,0.38664059889943975,0.021032465054241885,0.0003,100,8,True
All_stocks,AAPL,20,20,2026,2,5,0.6683635094646733,0.7079592647470629,0.3595878701460989,0.016647897014802106,0.0003,100,8,True
Industry,AAPL,20,20,2025,5,5,0.903396266289535,0.8169298732741196,0.41337610545911285,0.029340110022111,0.0003,100,8,True
Industry,AAPL,20,20,2026,2,5,0.6308794652443587,0.7015957177452775,0.3551732615420693,0.024241242880729135,0.0003,100,8,True
Industry,AAPL,20,20,2024,2,5,0.4894259955238375,0.5934751346899204,0.2985886774565044,0.013120013210011142,0.0003,100,8,True
All_stocks,AAPL,20,20,2024,5,5,0.39803761678703864,0.5482967790104288,0.27093269950465154,0.01912456439416296,0.0003,100,8,True
Industry,AAPL,20,20,2025,10,5,0.669476135196604,0.6840134035364241,0.3487778964795564,0.013677311199417442,0.0003,100,8,True
All_stocks,AAPL,20,20,2025,5,5,0.9512560740560932,0.8321756021147634,0.43013708215010793,0.014599617452324716,0.0003,100,8,True
All_stocks,AAPL,20,20,2026,5,5,0.6015226884461268,0.6548828509744145,0.3268288813139263,0.022650981429052967,0.0003,100,8,True
Industry,AAPL,20,20,2026,5,5,0.5864487040196366,0.6463682837752314,0.3300396517703408,0.01064559699639742,0.0003,100,8,True
