dataset,stock,seq,pred,seed,step_size,top_k,MSE,MAE,CRPS,variance,learning rate,epochs,batch_size,reference
only,AMZN,10,10,2024,1,1,0.46745780331178627,0.6544304770679527,0.4755338367662932,0.015596926610781953,0.0003,100,8,True
only,AMZN,10,10,2024,1,3,1.0494969083738195,1.00022644744278,0.7448115599782843,0.018599891695803585,0.0003,100,8,True
only,AMZN,10,10,2024,1,5,0.8337606610693972,0.887737959540322,0.6659282383165861,0.010265979428145215,0.0003,100,8,True
only,AMZN,10,10,2024,1,10,0.29511599660251797,0.5136227413804418,0.373939363580001,0.01118422927630645,0.0003,100,8,True
only,AMZN,20,20,2024,1,1,0.8405471171601332,0.8964973933577186,0.6701291736803556,0.008585034324004587,0.0003,100,8,True
only,AMZN,20,20,2024,1,3,0.9610501798556618,0.9615783668900661,0.7198896910014906,0.007175396246544379,0.0003,100,8,True
only,AMZN,20,20,2024,1,5,0.4752296971008841,0.6714609511833979,0.49929975208483246,0.004187193684345853,0.0003,100,8,True
only,AMZN,20,20,2024,1,10,0.6275496181836874,0.774311446580915,0.5817488620155736,0.003627216380781832,0.0003,100,8,True
only,AMZN,40,40,2024,1,5,0.44528620665687385,0.6461775693606373,0.4779280110409385,0.0031101515311062534,0.0003,100,8,True
only,AMZN,40,40,2024,1,1,1.143285799823876,1.051287443741508,0.7614822387695312,0.01416095427446142,0.0003,100,8,True
only,AMZN,40,40,2024,1,3,0.9436069628865423,0.9552262526292067,0.7165634757594058,0.001884526816698221,0.0003,100,8,True
only,AMZN,40,40,2024,1,10,0.7382271808126698,0.8390861396406806,0.6228427886962891,0.004811951841997063,0.0003,100,8,True
only,AMZN,60,60,2024,1,3,0.6531490615589431,0.7886301352403953,0.5761527513202868,0.007677213266549424,0.0003,100,8,True
only,AMZN,60,60,2024,1,1,1.4774017628555594,1.2017764215457087,0.902749312551398,0.0006167092196346097,0.0003,100,8,True
only,AMZN,60,60,2024,1,5,1.0224333577788167,0.9950228343752514,0.7427547856381065,0.0009293318197533891,0.0003,100,8,True
only,AMZN,60,60,2024,1,10,0.9096008202590844,0.9374635222642425,0.6992348118832237,0.0010052050143825502,0.0003,100,8,True
nhìn có v chẩn r r ấy a, var thap r, anh sua sang StandardScaler() xem, qua de diff step thap qua do
oke muc 
