dataset,stock,seq,pred,seed,step_size,top_k,MSE,MAE,CRPS,variance,learning rate,epochs,batch_size,reference
All_stocks,AMZN,96,24,2024,1,20,0.12777450729299475,0.314368584950765,0.5344433533517938,0.027383393579059178,0.0003,100,8,True
All_stocks,AMZN,96,24,2024,1,10,0.3753566365771823,0.46834290610419377,0.8528516669022409,0.06776855389277141,0.0003,100,8,True
All_stocks,AMZN,96,24,2024,1,3,0.9177058757234503,0.8371387361155616,1.598758998670076,0.047299685367831475,0.0003,100,8,True
All_stocks,AMZN,96,24,2024,1,5,0.13990026147277268,0.3222130482285111,0.5722850498400236,0.019810286865190225,0.0003,100,8,True
All_stocks,AMZN,96,24,2024,1,1,0.1712546299121998,0.32152047589973165,0.5696861869410464,0.03375460827792132,0.0003,100,8,True
only,AMZN,96,24,2024,1,20,0.155512651514124,0.32023377807052045,0.572991923282021,0.019856732923675468,0.0003,100,8,True
only,AMZN,96,24,2024,1,10,0.21988112484967268,0.364923811312075,0.7003944798519737,0.01072004907661014,0.0003,100,8,True
only,AMZN,96,24,2024,1,5,0.5065445768612402,0.5824622847415782,1.0685477005807977,0.048405581514040626,0.0003,100,8,True
only,AMZN,96,24,2024,1,3,0.337356596743619,0.4393960064428824,0.8121085919831929,0.035562737727606736,0.0003,100,8,True
only,AMZN,96,24,2024,1,1,0.4576704612484685,0.5252218377148663,0.9970929999100534,0.028641489457201075,0.0003,100,8,True
Industry,AMZN,96,24,2026,1,20,0.20456423627005682,0.35961048285166425,0.6545156679655376,0.02148203545146518,0.0003,100,8,True
Industry,AMZN,96,24,2026,1,10,0.3302464610779727,0.43589130604708637,0.8158879531057257,0.03122319731447432,0.0003,100,8,True
Industry,AMZN,96,24,2026,1,5,0.498261610004637,0.5484127569198608,1.0315167276482833,0.04947532567712996,0.0003,100,8,True
Industry,AMZN,96,24,2026,1,3,0.5188860803621786,0.5711201111475627,1.0894602725380345,0.0338259741001659,0.0003,100,8,True
Industry,AMZN,96,24,2026,1,1,0.1530302498517213,0.3482970944157353,0.5404804631283409,0.08874381250805324,0.0003,100,8,True
Industry,AMZN,96,24,2026,2,20,0.1296541929244995,0.3169067794305307,0.561857775637978,0.02024234575253946,0.0003,100,8,True
only,AMZN,96,24,2024,2,20,0.13702920918111447,0.3276530988128097,0.5766081559030634,0.02572174687076498,0.0003,100,8,True
All_stocks,AMZN,96,24,2024,2,20,0.4409540019653462,0.5055754728670473,0.9804292979993319,0.020041592722689665,0.0003,100,8,True
only,AMZN,96,24,2024,2,10,0.16315771306002583,0.339598959463614,0.6308448189183286,0.013021128630196607,0.0003,100,8,True
only,AMZN,96,24,2024,2,5,0.20028669357299805,0.333155993797161,0.6303143752248663,0.02563572280936771,0.0003,100,8,True
All_stocks,AMZN,96,24,2024,2,1,0.1471895174185435,0.3350990722797535,0.5229042956703588,0.1071699106251752,0.0003,100,8,True
All_stocks,AMZN,96,24,2024,2,3,0.4074585309293535,0.49128299960383665,0.8926033220793071,0.053675663294615567,0.0003,100,8,True
Industry,AMZN,96,24,2026,2,5,0.21178077075216506,0.34563296953837075,0.6273488496479235,0.04907967103852166,0.0003,100,8,True
only,AMZN,96,24,2024,2,1,0.23935498630559002,0.39333987253683583,0.6955487100701583,0.06455312859129023,0.0003,100,8,True
only,AMZN,96,24,2024,2,3,0.3090909655447359,0.43052587226585104,0.7774389166581003,0.12066501096442894,0.0003,100,8,True
All_stocks,AMZN,96,24,2024,2,5,0.1599584911046205,0.32005651597623475,0.5482197309795179,0.06772687757456744,0.0003,100,8,True
Industry,AMZN,96,24,2026,2,3,0.5393832111358643,0.5746638066680343,1.013184196070621,0.09058993222536864,0.0003,100,8,True
All_stocks,AMZN,96,24,2024,2,10,0.45223196084852574,0.5198368040720621,0.9816565262643915,0.02887004092887596,0.0003,100,8,True
Industry,AMZN,96,24,2026,2,1,0.37067236112223734,0.4650413616498311,0.8387182135331003,0.07666201417092924,0.0003,100,8,True
Industry,AMZN,96,24,2026,2,10,0.34263795967455263,0.4400286646242495,0.8212259192215768,0.05159401979711321,0.0003,100,8,True
All_stocks,AMZN,96,24,2024,5,3,0.5382377083654757,0.5759212804723669,1.0238056182861328,0.07444625236369945,0.0003,100,8,True
Industry,AMZN,96,24,2026,5,5,0.6689984792912448,0.6561902142454077,1.1836822911312705,0.05741527265972561,0.0003,100,8,True
only,AMZN,96,24,2024,5,1,0.2775724909702937,0.4014313746381689,0.7030113621761924,0.1117461480917754,0.0003,100,8,True
Industry,AMZN,96,24,2026,5,1,0.1517170829905404,0.3346729296225089,0.5739395743922183,0.028466001473091265,0.0003,100,8,True
only,AMZN,96,24,2024,5,10,0.19320146962448403,0.3476755315286142,0.6238000769364206,0.027237852635206998,0.0003,100,8,True
only,AMZN,96,24,2024,5,3,0.7453064826572383,0.7120645043585035,1.3587669573332135,0.03183144067172651,0.0003,100,8,True
only,AMZN,96,24,2024,5,20,0.2805777190570478,0.40095774085433394,0.7855112678126285,0.011603895955615574,0.0003,100,8,True
Industry,AMZN,96,24,2026,5,3,0.2787681543606299,0.3946984628394798,0.7287402905915913,0.044741571700131454,0.0003,100,8,True
All_stocks,AMZN,96,24,2024,5,20,0.3171726084969662,0.4236315012419665,0.7891353807951275,0.04569802556876783,0.0003,100,8,True
Industry,AMZN,96,24,2026,5,20,0.27768458501056387,0.4009654221711335,0.7691536953574732,0.025945734944608476,0.0003,100,8,True
Industry,AMZN,96,24,2026,5,10,0.22476783059261463,0.3726495889381126,0.6843421333714536,0.026745618394127597,0.0003,100,8,True
only,AMZN,96,24,2024,5,5,0.30895843953998,0.4270929057509811,0.7946961051539371,0.0367152578080142,0.0003,100,8,True
