dataset,stock,seq,pred,seed,step_size,top_k,MSE,MAE,CRPS,variance,learning rate,epochs,batch_size,reference
only,AMZN,10,10,2024,1,3,8.377631886091738,2.754908021379646,0.6518996389288652,0.10825362723517883,0.0003,100,8,True
only,AMZN,10,10,2024,1,1,8.365724651793583,2.730064107315786,0.6429537722938939,0.11618063921383828,0.0003,100,8,True
only,AMZN,10,10,2024,1,10,4.252567016049015,1.889312291477384,0.45010461305317123,0.07387615286208128,0.0003,100,8,True
only,AMZN,10,10,2024,1,5,9.273486727658753,2.901424127435286,0.6865165108128598,0.21067779721655885,0.0003,100,8,True
only,AMZN,20,20,2024,1,10,14.590567241657448,3.708972257991104,0.897198526482833,0.016286063299769848,0.0003,100,8,True
only,AMZN,20,20,2024,1,3,16.038998809184296,3.89775788973918,0.9438092081170333,0.013631734128898575,0.0003,100,8,True
only,AMZN,20,20,2024,1,5,8.609009702789397,2.8148259503299857,0.6629766163073088,0.07820459973495618,0.0003,100,8,True
only,AMZN,20,20,2024,1,1,12.298609964826465,3.3907326892413923,0.8058707588597348,0.047629979578091335,0.0003,100,8,True
only,AMZN,40,40,2024,1,1,13.590418623602112,3.5982366045183163,0.8517078600431743,0.015575363265232098,0.0003,100,8,True
only,AMZN,40,40,2024,1,10,10.900147494823239,3.198840010524992,0.7483396530151367,0.03570317245247372,0.0003,100,8,True
only,AMZN,40,40,2024,1,3,15.664387047809104,3.8686894802744174,0.9108941931473581,0.02882510810392756,0.0003,100,8,True
only,AMZN,40,40,2024,1,5,14.673366564492317,3.7408213586711563,0.8874173415334601,0.02112748172370885,0.0003,100,8,True
only,AMZN,60,60,2024,1,1,11.201965960449847,3.2662941087013353,0.7594504105417352,0.031276872443416405,0.0003,100,8,True
only,AMZN,60,60,2024,1,3,13.982034800565074,3.6646431744942487,0.8571351703844572,0.01324553409905354,0.0003,100,8,True
only,AMZN,60,60,2024,1,10,11.194283276021558,3.261503398801983,0.7576840551275956,0.018866188001448583,0.0003,100,8,True
only,AMZN,60,60,2024,1,5,13.59349929240066,3.609173823568965,0.8313660370676141,0.04131734521539362,0.0003,100,8,True
