dataset,stock,seq,pred,seed,step_size,top_k,MSE,MAE,CRPS,variance,learning rate,epochs,batch_size,reference
only,GOOG,10,10,2024,1,1,0.2550663103300217,0.4893956335806249,0.4142239972164756,0.046458942644443356,0.0003,100,8,True
only,GOOG,10,10,2024,1,5,0.40201164075591106,0.6153582958125803,0.5248749883551347,0.01323122094932705,0.0003,100,8,True
only,GOOG,10,10,2024,1,10,0.19550089158719627,0.42589438446384953,0.367205444135164,0.005968723639140222,0.0003,100,8,True
only,GOOG,10,10,2024,1,3,0.2904358250184976,0.5204805708861284,0.4181565485502544,0.03418963576425749,0.0003,100,8,True
only,GOOG,20,20,2024,1,10,0.245926493951353,0.4784584135432511,0.41187130777459396,0.00537029780821111,0.0003,100,8,True
only,GOOG,20,20,2024,1,5,0.33424751906268363,0.5589893419834013,0.4857963762785259,0.005342019509776855,0.0003,100,8,True
only,GOOG,20,20,2024,1,1,0.8058026012769491,0.8811823943371618,0.7532494193629214,0.02093710213635875,0.0003,100,8,True
only,GOOG,20,20,2024,1,3,0.36947936674134924,0.591667912350995,0.5171275891755757,0.004798912017394659,0.0003,100,8,True
only,GOOG,40,40,2024,1,1,0.31747065387840656,0.5424060457924935,0.47463572652716385,0.0024374955922464863,0.0003,100,8,True
only,GOOG,40,40,2024,1,10,0.2641102631355209,0.4937612941831251,0.42291847028230367,0.005147827065309952,0.0003,100,8,True
only,GOOG,40,40,2024,1,5,0.2372973671724964,0.46711409068027865,0.41093921661376953,0.0013638273367415305,0.0003,100,8,True
only,GOOG,40,40,2024,1,3,0.23118635738972437,0.46108841401677464,0.39901045749061986,0.003800088949626106,0.0003,100,8,True
only,GOOG,60,60,2024,1,5,0.5025478917812902,0.6945251415748547,0.6041938380191201,0.002874441398847057,0.0003,100,8,True
only,GOOG,60,60,2024,1,3,0.38684995742071243,0.6047876227929939,0.5318720466212222,0.0010255048643591474,0.0003,100,8,True
only,GOOG,60,60,2024,1,1,0.6233133725984983,0.7767888288853865,0.6764039993286133,0.002729052761653522,0.0003,100,8,True
only,GOOG,60,60,2024,1,10,0.22005052848825737,0.4516927098061894,0.39366872687088816,0.0010088001592432362,0.0003,100,8,True
