num_channels,kernel_size,dropout,emb_dim,batch_size,learning_rate,epochs,train_loss,val_loss,best_epoch,best_val_loss
"[32, 64]",3,0.2,32,16,0.0001,50,0.10190660654846376,0.11210420181136985,45,0.10950520667186471
"[32, 64]",3,0.2,32,16,0.001,50,0.04869271198560685,0.053381475168544655,40,0.050491556199877545
"[32, 64]",3,0.2,32,32,0.0001,50,0.11051941017418512,0.111781829959961,50,0.111781829959961
"[32, 64]",3,0.2,32,32,0.001,50,0.053930731119355695,0.055654103156000244,50,0.055654103156000244
"[32, 64]",3,0.2,64,16,0.0001,50,0.10172782297077013,0.10899730983259376,49,0.10783287537930834
"[32, 64]",3,0.2,64,16,0.001,50,0.048263405732957225,0.05023827813728408,44,0.04867718603022755
"[32, 64]",3,0.2,64,32,0.0001,50,0.1077111325424401,0.11019267356551891,49,0.10955356582023171
"[32, 64]",3,0.2,64,32,0.001,50,0.05107641326878994,0.0745128793682594,49,0.057753148948261314
"[32, 64]",3,0.3,32,16,0.0001,50,0.10607749507385479,0.11538955491182586,47,0.1121220908180595
"[32, 64]",3,0.3,32,16,0.001,50,0.04903815090004151,0.05367123950516813,42,0.05158047257682642
"[32, 64]",3,0.3,32,32,0.0001,50,0.11272957272159193,0.1125367725650296,50,0.1125367725650296
"[32, 64]",3,0.3,32,32,0.001,50,0.05139152968151564,0.06575029414944253,33,0.06514313625066041
"[32, 64]",3,0.3,64,16,0.0001,50,0.09741788512377039,0.13056554004354767,27,0.11318316053615386
"[32, 64]",3,0.3,64,16,0.001,50,0.050369769620099786,0.05105051430812569,48,0.04989986687768495
"[32, 64]",3,0.3,64,32,0.0001,50,0.11032598092336884,0.1114521473646164,50,0.1114521473646164
"[32, 64]",3,0.3,64,32,0.001,50,0.053278757206264155,0.061083150092170746,47,0.06087225119229488
"[32, 64]",5,0.2,32,16,0.0001,50,0.05813224907124851,0.09262549083305759,48,0.07403108044873158
"[32, 64]",5,0.2,32,16,0.001,50,0.03728225564734941,0.037547608796816206,50,0.037547608796816206
"[32, 64]",5,0.2,32,32,0.0001,50,0.07293401956884292,0.08525289133126038,49,0.08411161542979911
"[32, 64]",5,0.2,32,32,0.001,50,0.04022525342209855,0.046747989431999655,45,0.044043367639118924
"[32, 64]",5,0.2,64,16,0.0001,50,0.05681247560050608,0.08142096071003826,50,0.08142096071003826
"[32, 64]",5,0.2,64,16,0.001,50,0.03816755595301121,0.055766282513672605,44,0.0452966480210879
"[32, 64]",5,0.2,64,32,0.0001,50,0.06327170144187805,0.0812167160245529,47,0.07394048005472624
"[32, 64]",5,0.2,64,32,0.001,50,0.04163355628921114,0.04700158764181179,48,0.04515395907270336
"[32, 64]",5,0.3,32,16,0.0001,50,0.059910353305759785,0.10189275515131554,29,0.09729064968475608
"[32, 64]",5,0.3,32,16,0.001,50,0.03998086478406282,0.0501250125890736,49,0.04504989835893223
"[32, 64]",5,0.3,32,32,0.0001,50,0.07590158732049575,0.16884885461569873,32,0.11224308980864729
"[32, 64]",5,0.3,32,32,0.001,50,0.04253818065384545,0.061190550504292986,47,0.054747559911038676
"[32, 64]",5,0.3,64,16,0.0001,50,0.05875257160962932,0.11832488468120192,21,0.10322191719144713
"[32, 64]",5,0.3,64,16,0.001,50,0.03944126385339501,0.048849904608778555,48,0.04301738514520195
"[32, 64]",5,0.3,64,32,0.0001,50,0.07161731457162478,0.13697378975074884,32,0.11169332805939637
"[32, 64]",5,0.3,64,32,0.001,50,0.04307486515500353,0.05214631180055277,49,0.047363173330454846
