num_channels,kernel_size,dropout,emb_dim,batch_size,learning_rate,best_epoch,train_loss,val_loss
"[32, 64]",3,0.1,32,16,0.0001,50,0.1638792621163362,0.16660484085957555
"[32, 64]",3,0.1,32,16,0.001,50,0.05303069076926755,0.05356501252695463
"[32, 64]",3,0.1,32,32,0.0001,50,0.2110556900762103,0.2165332305769733
"[32, 64]",3,0.1,32,32,0.001,50,0.06728417097022288,0.0689556963709244
"[32, 64]",3,0.1,64,16,0.0001,50,0.12078633441445082,0.1211611099508652
"[32, 64]",3,0.1,64,16,0.001,48,0.04337940184925265,0.04337311228615228
"[32, 64]",3,0.1,64,32,0.0001,50,0.14712462487836375,0.14860750871454265
"[32, 64]",3,0.1,64,32,0.001,50,0.04950231182464364,0.04941294378068249
"[32, 64]",3,0.2,32,16,0.0001,50,0.16367864605504,0.1665378736746884
"[32, 64]",3,0.2,32,16,0.001,50,0.05626408059630926,0.056637214439795004
"[32, 64]",3,0.2,32,32,0.0001,50,0.20880777406744674,0.21359979644352692
"[32, 64]",3,0.2,32,32,0.001,50,0.07019809679142495,0.07151260523036057
"[32, 64]",3,0.2,64,16,0.0001,50,0.1193471355954719,0.12089199218166968
"[32, 64]",3,0.2,64,16,0.001,49,0.04480119393547463,0.04474567029804122
"[32, 64]",3,0.2,64,32,0.0001,50,0.14573063249791476,0.1471919668553698
"[32, 64]",3,0.2,64,32,0.001,50,0.05241961589722978,0.052720353869501684
"[32, 64]",5,0.1,32,16,0.0001,50,0.16219795086060362,0.16461732768856283
"[32, 64]",5,0.1,32,16,0.001,50,0.05143675284716963,0.05148931452801134
"[32, 64]",5,0.1,32,32,0.0001,50,0.20666344734459008,0.21106619462696224
"[32, 64]",5,0.1,32,32,0.001,50,0.06408206611480442,0.06552657270275349
"[32, 64]",5,0.1,64,16,0.0001,50,0.11954614282045635,0.12053120123246872
"[32, 64]",5,0.1,64,16,0.001,49,0.03998394808538372,0.03977710519425213
"[32, 64]",5,0.1,64,32,0.0001,50,0.15008001544673802,0.15165143476302967
"[32, 64]",5,0.1,64,32,0.001,50,0.04540348088845643,0.0458447594667366
"[32, 64]",5,0.2,32,16,0.0001,50,0.16400728327440225,0.16685536204467175
"[32, 64]",5,0.2,32,16,0.001,50,0.05155263539542255,0.05185174867185443
"[32, 64]",5,0.2,32,32,0.0001,50,0.21496957028590355,0.22026771723443245
"[32, 64]",5,0.2,32,32,0.001,50,0.06530210861622374,0.06649691211344373
"[32, 64]",5,0.2,64,16,0.0001,50,0.12359161562483995,0.12446845957285452
"[32, 64]",5,0.2,64,16,0.001,49,0.04121857786172067,0.041057492219985316
"[32, 64]",5,0.2,64,32,0.0001,50,0.15288634073290835,0.15463306660475168
"[32, 64]",5,0.2,64,32,0.001,50,0.04843230869955255,0.048909674223723894
