num_channels,kernel_size,dropout,emb_dim,batch_size,learning_rate,best_epoch,train_loss,val_loss
"[32, 64]",3,0.1,32,16,0.0001,50,0.1309929347762133,0.1308250691107267
"[32, 64]",3,0.1,32,16,1e-05,50,0.500226621685195,0.4894457475066706
"[32, 64]",3,0.1,32,32,0.0001,50,0.15562157443759217,0.1566248076060974
"[32, 64]",3,0.1,32,32,1e-05,50,0.66367568463674,0.6415867865345884
"[32, 64]",3,0.1,64,16,0.0001,50,0.10586459326600611,0.10492511067588256
"[32, 64]",3,0.1,64,16,1e-05,50,0.3252227687209649,0.3212239475489704
"[32, 64]",3,0.1,64,32,0.0001,50,0.12740742102167538,0.12715495790977144
"[32, 64]",3,0.1,64,32,1e-05,50,0.48025665763170505,0.4719943523927547
"[32, 64]",3,0.2,32,16,0.0001,50,0.1363983573127106,0.13623406367140567
"[32, 64]",3,0.2,32,16,1e-05,50,0.4979351019441951,0.4892972719461116
"[32, 64]",3,0.2,32,32,0.0001,50,0.16008731276122956,0.16085138097080082
"[32, 64]",3,0.2,32,32,1e-05,50,0.6759956312127395,0.6530587379068267
"[32, 64]",3,0.2,64,16,0.0001,50,0.10675272537921138,0.1060927089254929
"[32, 64]",3,0.2,64,16,1e-05,50,0.34858121913684537,0.3461534116726255
"[32, 64]",3,0.2,64,32,0.0001,50,0.12662271768898098,0.1266829728364424
"[32, 64]",3,0.2,64,32,1e-05,50,0.4886382300431149,0.479789162827371
"[32, 64]",5,0.1,32,16,0.0001,50,0.1365821987586157,0.13735351825385114
"[32, 64]",5,0.1,32,16,1e-05,50,0.48460638268771267,0.4748319131057856
"[32, 64]",5,0.1,32,32,0.0001,50,0.15570771348554666,0.15644360239328775
"[32, 64]",5,0.1,32,32,1e-05,50,0.6685703224634968,0.6477155846799826
"[32, 64]",5,0.1,64,16,0.0001,50,0.10367741553149547,0.10196615397669863
"[32, 64]",5,0.1,64,16,1e-05,50,0.3228750051502587,0.32055267405301724
"[32, 64]",5,0.1,64,32,0.0001,50,0.12074631136277572,0.11969308024801022
"[32, 64]",5,0.1,64,32,1e-05,50,0.44735009854158114,0.43981200404562804
"[32, 64]",5,0.2,32,16,0.0001,50,0.12977360208524916,0.12920890286499756
"[32, 64]",5,0.2,32,16,1e-05,50,0.49792722408828904,0.48761523576803084
"[32, 64]",5,0.2,32,32,0.0001,50,0.15803165515350825,0.15849909745970148
"[32, 64]",5,0.2,32,32,1e-05,50,0.674701287396888,0.6519465462089106
"[32, 64]",5,0.2,64,16,0.0001,50,0.10444716313605236,0.10258810752474064
"[32, 64]",5,0.2,64,16,1e-05,50,0.33382813179258186,0.33108723072505936
"[32, 64]",5,0.2,64,32,0.0001,50,0.12067786909036615,0.11964812513652327
"[32, 64]",5,0.2,64,32,1e-05,50,0.4764992561460324,0.46868699802061353
