Symbol,Date,Close
GE,2012-09-04,20.51
GE,2012-09-05,20.65
GE,2012-09-06,21.309999
GE,2012-09-07,21.59
GE,2012-09-10,21.48
GE,2012-09-11,21.59
GE,2012-09-12,21.889999
GE,2012-09-13,22.02
GE,2012-09-14,22.110001
GE,2012-09-17,22.049999
GE,2012-09-18,22.24
GE,2012-09-19,22.43
GE,2012-09-20,22.43
GE,2012-09-21,22.530001
GE,2012-09-24,22.360001
GE,2012-09-25,22.309999
GE,2012-09-26,22.1
GE,2012-09-27,22.73
GE,2012-09-28,22.709999
GE,2012-10-01,22.809999
GE,2012-10-02,22.790001
GE,2012-10-03,22.91
GE,2012-10-04,22.950001
GE,2012-10-05,23.120001
GE,2012-10-08,22.92
GE,2012-10-09,22.620001
GE,2012-10-10,22.43
GE,2012-10-11,22.51
GE,2012-10-12,22.48
GE,2012-10-15,22.639999
GE,2012-10-16,22.639999
GE,2012-10-17,22.91
GE,2012-10-18,22.809999
GE,2012-10-19,22.030001
GE,2012-10-22,21.700001
GE,2012-10-23,21.280001
GE,2012-10-24,21.26
GE,2012-10-25,21.26
GE,2012-10-26,21.110001
GE,2012-10-31,21.059999
GE,2012-11-01,21.34
GE,2012-11-02,21.309999
GE,2012-11-05,21.41
GE,2012-11-06,21.59
GE,2012-11-07,21.129999
GE,2012-11-08,20.889999
GE,2012-11-09,21.0
GE,2012-11-12,20.889999
GE,2012-11-13,20.68
GE,2012-11-14,20.01
GE,2012-11-15,20.059999
GE,2012-11-16,20.15
GE,2012-11-19,20.66
GE,2012-11-20,20.620001
GE,2012-11-21,20.68
GE,2012-11-23,21.040001
GE,2012-11-26,21.059999
GE,2012-11-27,20.870001
GE,2012-11-28,21.139999
GE,2012-11-29,21.129999
GE,2012-11-30,21.129999
GE,2012-12-03,20.82
GE,2012-12-04,20.860001
GE,2012-12-05,21.23
GE,2012-12-06,21.370001
GE,2012-12-07,21.459999
GE,2012-12-10,21.389999
GE,2012-12-11,21.51
GE,2012-12-12,21.780001
GE,2012-12-13,21.620001
GE,2012-12-14,21.620001
GE,2012-12-17,21.93
GE,2012-12-18,21.690001
GE,2012-12-19,21.01
GE,2012-12-20,21.049999
GE,2012-12-21,20.879999
GE,2012-12-24,20.82
GE,2012-12-26,20.77
GE,2012-12-27,20.690001
GE,2012-12-28,20.440001
GE,2012-12-31,20.99
GE,2013-01-02,21.34
GE,2013-01-03,21.1
GE,2013-01-04,21.200001
GE,2013-01-07,21.129999
GE,2013-01-08,20.9
GE,2013-01-09,20.950001
GE,2013-01-10,21.17
GE,2013-01-11,21.129999
GE,2013-01-14,21.120001
GE,2013-01-15,21.200001
GE,2013-01-16,21.120001
GE,2013-01-17,21.299999
GE,2013-01-18,22.040001
GE,2013-01-22,22.01
GE,2013-01-23,21.940001
GE,2013-01-24,22.049999
GE,2013-01-25,22.290001
GE,2013-01-28,22.5
GE,2013-01-29,22.5
GE,2013-01-30,22.23
GE,2013-01-31,22.280001
GE,2013-02-01,22.620001
GE,2013-02-04,22.309999
GE,2013-02-05,22.540001
GE,2013-02-06,22.440001
GE,2013-02-07,22.48
GE,2013-02-08,22.5
GE,2013-02-11,22.450001
GE,2013-02-12,22.58
GE,2013-02-13,23.389999
GE,2013-02-14,23.41
GE,2013-02-15,23.290001
GE,2013-02-19,23.75
GE,2013-02-20,23.41
GE,2013-02-21,23.26
GE,2013-02-22,23.389999
GE,2013-02-25,22.809999
GE,2013-02-26,23.049999
GE,2013-02-27,23.370001
GE,2013-02-28,23.219999
GE,2013-03-01,23.190001
GE,2013-03-04,23.27
GE,2013-03-05,23.59
GE,2013-03-06,23.67
GE,2013-03-07,23.68
GE,2013-03-08,23.77
GE,2013-03-11,23.620001
GE,2013-03-12,23.41
GE,2013-03-13,23.49
GE,2013-03-14,23.690001
GE,2013-03-15,23.440001
GE,2013-03-18,23.25
GE,2013-03-19,23.32
GE,2013-03-20,23.459999
GE,2013-03-21,23.290001
GE,2013-03-22,23.370001
GE,2013-03-25,23.24
GE,2013-03-26,23.120001
GE,2013-03-27,23.1
GE,2013-03-28,23.120001
GE,2013-04-01,23.08
GE,2013-04-02,23.34
GE,2013-04-03,23.0
GE,2013-04-04,23.08
GE,2013-04-05,22.93
GE,2013-04-08,23.120001
GE,2013-04-09,23.059999
GE,2013-04-10,23.58
GE,2013-04-11,23.59
GE,2013-04-12,23.459999
GE,2013-04-15,22.809999
GE,2013-04-16,23.1
GE,2013-04-17,22.76
GE,2013-04-18,22.67
GE,2013-04-19,21.75
GE,2013-04-22,21.35
GE,2013-04-23,21.5
GE,2013-04-24,21.959999
GE,2013-04-25,21.950001
GE,2013-04-26,22.209999
GE,2013-04-29,22.27
GE,2013-04-30,22.290001
GE,2013-05-01,22.15
GE,2013-05-02,22.32
GE,2013-05-03,22.57
GE,2013-05-06,22.58
GE,2013-05-07,22.68
GE,2013-05-08,23.01
GE,2013-05-09,22.780001
GE,2013-05-10,22.9
GE,2013-05-13,22.85
GE,2013-05-14,23.01
GE,2013-05-15,23.24
GE,2013-05-16,23.27
GE,2013-05-17,23.459999
GE,2013-05-20,23.57
GE,2013-05-21,23.66
GE,2013-05-22,23.860001
GE,2013-05-23,23.66
GE,2013-05-24,23.530001
GE,2013-05-28,23.6
GE,2013-05-29,23.639999
GE,2013-05-30,23.6
GE,2013-05-31,23.32
GE,2013-06-03,23.639999
GE,2013-06-04,23.66
GE,2013-06-05,23.32
GE,2013-06-06,23.379999
GE,2013-06-07,23.860001
GE,2013-06-10,23.780001
GE,2013-06-11,23.58
GE,2013-06-12,23.5
GE,2013-06-13,23.68
GE,2013-06-14,23.52
GE,2013-06-17,23.77
GE,2013-06-18,24.33
GE,2013-06-19,23.98
GE,2013-06-20,23.25
GE,2013-06-21,23.360001
GE,2013-06-24,22.93
GE,2013-06-25,23.110001
GE,2013-06-26,23.25
GE,2013-06-27,23.32
GE,2013-06-28,23.190001
GE,2013-07-01,23.34
GE,2013-07-02,22.9
GE,2013-07-03,22.91
GE,2013-07-05,23.24
GE,2013-07-08,23.32
GE,2013-07-09,23.620001
GE,2013-07-10,23.540001
GE,2013-07-11,23.940001
GE,2013-07-12,23.76
